id,user_id,emotion,confidence,timestamp
1,user6,happy,0.91,2025-12-04 12:58:58
2,user26,happy,0.9,2025-12-04 21:11:40
3,user44,happy,0.93,2025-12-04 11:40:28
4,user8,happy,0.95,2025-12-04 18:08:35
5,user44,happy,0.92,2025-12-04 08:03:43
6,user28,happy,0.94,2025-12-04 16:38:00
7,user14,happy,0.97,2025-12-04 13:59:44
8,user32,angry,0.87,2025-12-04 10:21:14
9,user44,fear,0.74,2025-12-04 19:50:38
10,user24,happy,0.86,2025-12-04 18:49:39
11,user22,angry,0.82,2025-12-04 19:41:21
12,user46,happy,0.91,2025-12-04 17:16:26
13,user25,happy,0.86,2025-12-04 12:58:09
14,user35,happy,0.93,2025-12-04 15:03:15
15,user47,surprised,0.93,2025-12-04 07:05:09
16,user35,happy,0.9,2025-12-04 19:52:32
17,user47,happy,0.98,2025-12-04 07:39:02
18,user9,happy,0.93,2025-12-04 07:06:57
19,user8,happy,0.85,2025-12-04 17:33:28
20,user33,happy,0.89,2025-12-04 10:55:26
21,user11,happy,0.92,2025-12-04 01:02:29
22,user27,happy,0.85,2025-12-04 16:18:14
23,user10,fear,0.7,2025-12-04 08:25:20
24,user8,fear,0.66,2025-12-04 19:05:06
25,user41,happy,0.96,2025-12-04 15:20:06
26,user2,fear,0.78,2025-12-04 19:10:46
27,user37,happy,0.94,2025-12-04 22:26:51
28,user4,surprised,0.85,2025-12-04 14:02:37
29,user40,surprised,0.95,2025-12-04 15:41:07
30,user42,happy,0.9,2025-12-04 10:47:15
31,user50,happy,0.98,2025-12-04 14:36:53
32,user13,sad,0.81,2025-12-04 19:58:13
33,user14,happy,0.95,2025-12-04 14:08:30
34,user27,surprised,0.9,2025-12-04 19:02:51
35,user24,happy,0.92,2025-12-04 10:31:57
36,user13,happy,0.96,2025-12-04 20:39:18
37,user33,angry,0.78,2025-12-04 08:40:53
38,user48,happy,0.9,2025-12-04 09:41:23
39,user12,happy,0.86,2025-12-04 09:38:08
40,user33,happy,0.95,2025-12-04 14:31:10
41,user39,fear,0.71,2025-12-04 19:12:22
42,user6,happy,0.96,2025-12-04 08:28:03
43,user19,surprised,0.83,2025-12-04 12:23:00
44,user19,happy,0.93,2025-12-04 18:30:53
45,user42,sad,0.75,2025-12-04 18:42:38
46,user28,happy,0.9,2025-12-04 19:01:44
47,user21,happy,0.9,2025-12-04 19:15:52
48,user29,happy,0.86,2025-12-04 17:11:37
49,user21,happy,0.93,2025-12-04 07:54:51
50,user1,happy,0.94,2025-12-04 11:11:34
51,user12,happy,0.94,2025-12-04 15:11:27
52,user46,happy,0.95,2025-12-04 21:01:09
