id,emotion,confidence,timestamp
1,outer,0.7,2025-11-15 06:32:33
2,long_pants,0.8,2025-11-15 06:32:33
3,outer,0.79,2025-11-09 23:32:59
4,long_pants,0.97,2025-11-09 23:32:59
5,outer,0.89,2025-11-13 20:57:04
6,long_pants,0.74,2025-11-13 20:57:04
7,t-shirt,0.94,2025-10-30 14:49:08
8,shorts,0.79,2025-10-30 14:49:08
9,sweater,0.88,2025-11-24 14:41:26
10,skirt,0.79,2025-11-24 14:41:26
11,outer,0.9,2025-11-17 17:22:26
12,skirt,0.72,2025-11-17 17:22:26
13,t-shirt,0.7,2025-11-15 07:45:59
14,long_pants,0.85,2025-11-15 07:45:59
15,sweater,0.88,2025-11-14 10:04:28
16,shorts,0.75,2025-11-14 10:04:28
17,shirt,0.79,2025-11-12 17:29:28
18,long_pants,0.79,2025-11-12 17:29:28
19,outer,0.71,2025-11-13 14:03:44
20,skirt,0.96,2025-11-13 14:03:44
21,sweater,0.91,2025-10-27 09:11:03
22,long_pants,0.96,2025-10-27 09:11:03
23,outer,0.91,2025-11-01 15:55:37
24,shorts,0.73,2025-11-01 15:55:37
25,t-shirt,0.75,2025-11-12 14:17:14
26,long_pants,0.79,2025-11-12 14:17:14
27,shirt,0.84,2025-10-30 20:48:31
28,long_pants,0.89,2025-10-30 20:48:31
29,sweater,0.87,2025-10-27 06:07:31
30,long_pants,0.91,2025-10-27 06:07:31
31,outer,0.93,2025-10-25 22:31:10
32,shorts,0.84,2025-10-25 22:31:10
33,shirt,0.85,2025-11-08 12:31:36
34,shorts,0.78,2025-11-08 12:31:36
35,sweater,0.97,2025-11-05 16:38:23
36,long_pants,0.74,2025-11-05 16:38:23
37,t-shirt,0.81,2025-11-04 14:28:29
38,skirt,0.7,2025-11-04 14:28:29
39,t-shirt,0.96,2025-11-01 07:02:18
40,long_pants,0.98,2025-11-01 07:02:18
41,t-shirt,0.9,2025-11-15 12:06:25
42,skirt,0.93,2025-11-15 12:06:25
43,shirt,0.73,2025-10-25 10:56:23
44,long_pants,0.8,2025-10-25 10:56:23
45,outer,0.74,2025-11-07 07:11:20
46,long_pants,0.8,2025-11-07 07:11:20
47,t-shirt,0.75,2025-11-13 22:58:41
48,skirt,0.92,2025-11-13 22:58:41
49,sweater,0.9,2025-10-27 20:17:18
50,long_pants,0.76,2025-10-27 20:17:18
51,sweater,0.86,2025-10-25 19:28:40
52,long_pants,0.76,2025-10-25 19:28:40
53,sweater,0.77,2025-11-18 18:28:57
54,long_pants,0.71,2025-11-18 18:28:57
55,outer,0.91,2025-10-24 14:47:48
56,skirt,0.93,2025-10-24 14:47:48
57,t-shirt,0.92,2025-11-23 16:14:08
58,shorts,0.87,2025-11-23 16:14:08
59,outer,0.8,2025-11-15 22:27:34
60,long_pants,0.81,2025-11-15 22:27:34
61,outer,0.84,2025-10-31 12:05:33
62,shorts,0.8,2025-10-31 12:05:33
63,sweater,0.85,2025-11-02 09:15:33
64,skirt,0.98,2025-11-02 09:15:33
65,sweater,0.7,2025-11-24 20:21:58
66,shorts,0.95,2025-11-24 20:21:58
67,t-shirt,0.97,2025-11-18 06:23:55
68,long_pants,0.72,2025-11-18 06:23:55
69,sweater,0.79,2025-10-28 06:10:31
70,shorts,0.92,2025-10-28 06:10:31
71,outer,0.93,2025-11-20 08:52:35
72,long_pants,0.88,2025-11-20 08:52:35
73,outer,0.94,2025-10-29 11:51:44
74,shorts,0.76,2025-10-29 11:51:44
75,shirt,0.78,2025-11-08 19:36:34
76,long_pants,0.98,2025-11-08 19:36:34
77,blouse,0.97,2025-11-19 19:54:07
78,long_pants,0.89,2025-11-19 19:54:07
79,outer,0.73,2025-11-12 22:30:26
80,long_pants,0.8,2025-11-12 22:30:26
81,outer,0.76,2025-11-05 07:50:38
82,long_pants,0.83,2025-11-05 07:50:38
83,t-shirt,0.76,2025-11-09 10:16:30
84,long_pants,0.99,2025-11-09 10:16:30
85,sweater,0.82,2025-10-25 11:03:50
86,skirt,0.82,2025-10-25 11:03:50
87,t-shirt,0.96,2025-11-23 16:09:11
88,long_pants,0.77,2025-11-23 16:09:11
89,outer,0.94,2025-10-31 13:15:57
90,shorts,0.74,2025-10-31 13:15:57
91,t-shirt,0.89,2025-11-11 15:47:00
92,shorts,0.95,2025-11-11 15:47:00
93,sweater,0.74,2025-10-28 17:00:40
94,long_pants,0.83,2025-10-28 17:00:40
95,sweater,0.85,2025-10-29 10:40:21
96,skirt,0.87,2025-10-29 10:40:21
97,outer,0.97,2025-11-06 21:25:17
98,long_pants,0.77,2025-11-06 21:25:17
99,t-shirt,0.7,2025-10-29 20:04:07
100,long_pants,0.95,2025-10-29 20:04:07
101,blouse,0.8,2025-10-29 13:18:32
102,shorts,0.92,2025-10-29 13:18:32
103,sweater,0.97,2025-11-04 15:59:58
104,shorts,0.77,2025-11-04 15:59:58
105,outer,0.85,2025-11-20 07:45:38
106,long_pants,0.74,2025-11-20 07:45:38
107,blouse,0.99,2025-10-25 12:51:57
108,shorts,0.95,2025-10-25 12:51:57
109,sweater,0.86,2025-11-10 09:33:00
110,shorts,0.89,2025-11-10 09:33:00
111,t-shirt,0.9,2025-11-04 12:41:54
112,shorts,0.72,2025-11-04 12:41:54
113,shirt,0.85,2025-11-01 14:32:30
114,long_pants,0.91,2025-11-01 14:32:30
115,shirt,0.87,2025-11-22 13:08:40
116,skirt,0.96,2025-11-22 13:08:40
117,shirt,0.88,2025-11-07 16:18:25
118,shorts,0.88,2025-11-07 16:18:25
119,shirt,0.85,2025-10-24 14:46:10
120,long_pants,0.98,2025-10-24 14:46:10
121,sweater,0.77,2025-11-05 12:28:57
122,long_pants,0.83,2025-11-05 12:28:57
123,t-shirt,0.7,2025-11-21 10:55:02
124,skirt,0.8,2025-11-21 10:55:02
125,outer,0.99,2025-11-23 21:15:31
126,long_pants,0.96,2025-11-23 21:15:31
127,sweater,0.92,2025-10-28 14:31:05
128,long_pants,0.78,2025-10-28 14:31:05
129,outer,0.86,2025-11-24 08:22:02
130,long_pants,0.86,2025-11-24 08:22:02
131,t-shirt,0.93,2025-11-21 13:28:14
132,skirt,0.8,2025-11-21 13:28:14
133,t-shirt,0.81,2025-11-24 20:35:29
134,shorts,0.95,2025-11-24 20:35:29
135,outer,0.85,2025-11-03 22:31:28
136,long_pants,0.8,2025-11-03 22:31:28
137,outer,0.76,2025-11-10 23:57:32
138,long_pants,0.96,2025-11-10 23:57:32
139,t-shirt,0.89,2025-11-15 17:15:55
140,shorts,0.7,2025-11-15 17:15:55
141,sweater,0.73,2025-11-11 14:39:53
142,long_pants,0.96,2025-11-11 14:39:53
143,blouse,0.87,2025-10-25 17:57:28
144,shorts,0.92,2025-10-25 17:57:28
145,shirt,0.79,2025-11-15 07:08:28
146,long_pants,0.78,2025-11-15 07:08:28
147,shirt,0.8,2025-10-25 15:20:33
148,shorts,0.87,2025-10-25 15:20:33
149,outer,0.74,2025-11-20 20:45:25
150,shorts,0.9,2025-11-20 20:45:25
151,outer,0.99,2025-11-10 22:45:29
152,skirt,0.83,2025-11-10 22:45:29
153,t-shirt,0.89,2025-11-20 21:21:44
154,long_pants,0.96,2025-11-20 21:21:44
155,shirt,0.94,2025-11-05 08:35:54
