id,clothing_label,confidence,timestamp,tanggal
1,hijab,0.67,2025-11-24T12:05:00,2025-11-24
2,hijab,0.78,2025-11-24T18:31:00,2025-11-24
3,topi,0.55,2025-11-24T18:29:00,2025-11-24
4,rambut,0.66,2025-11-24T14:51:00,2025-11-24
5,hijab,0.93,2025-11-24T16:00:00,2025-11-24
6,rambut,0.68,2025-11-24T16:19:00,2025-11-24
7,hijab,0.66,2025-11-24T16:03:00,2025-11-24
8,hijab,0.93,2025-11-24T13:35:00,2025-11-24
9,topi,0.92,2025-11-24T16:04:00,2025-11-24
10,rambut,0.86,2025-11-24T18:04:00,2025-11-24
11,hijab,0.78,2025-11-24T10:38:00,2025-11-24
12,rambut,0.68,2025-11-24T09:17:00,2025-11-24
13,rambut,0.64,2025-11-24T16:44:00,2025-11-24
14,topi,0.84,2025-11-24T12:36:00,2025-11-24
15,rambut,0.98,2025-11-24T08:28:00,2025-11-24
16,topi,0.97,2025-11-24T11:03:00,2025-11-24
17,topi,0.52,2025-11-24T08:50:00,2025-11-24
18,topi,0.91,2025-11-24T12:00:00,2025-11-24
19,rambut,0.72,2025-11-24T07:25:00,2025-11-24
20,topi,0.61,2025-11-24T14:33:00,2025-11-24
21,topi,0.72,2025-11-24T07:47:00,2025-11-24
22,hijab,0.82,2025-11-24T16:39:00,2025-11-24
23,rambut,0.77,2025-11-24T15:46:00,2025-11-24
24,rambut,0.63,2025-11-24T15:26:00,2025-11-24
25,topi,0.73,2025-11-24T18:39:00,2025-11-24
26,topi,0.98,2025-11-24T14:21:00,2025-11-24
27,hijab,0.78,2025-11-24T21:23:00,2025-11-24
28,rambut,0.82,2025-11-24T18:51:00,2025-11-24
29,rambut,0.81,2025-11-24T06:36:00,2025-11-24
30,hijab,0.67,2025-11-24T07:25:00,2025-11-24
31,rambut,0.77,2025-11-24T06:26:00,2025-11-24
32,rambut,0.73,2025-11-24T08:34:00,2025-11-24
33,rambut,0.58,2025-11-24T10:02:00,2025-11-24
34,rambut,0.81,2025-11-24T13:19:00,2025-11-24
35,hijab,0.58,2025-11-24T09:42:00,2025-11-24
36,rambut,0.95,2025-11-24T10:23:00,2025-11-24
37,hijab,0.61,2025-11-24T17:31:00,2025-11-24
38,rambut,0.68,2025-11-24T10:08:00,2025-11-24
39,rambut,0.62,2025-11-24T07:27:00,2025-11-24
40,rambut,0.58,2025-11-24T06:21:00,2025-11-24
41,rambut,0.87,2025-11-24T06:33:00,2025-11-24
42,rambut,0.76,2025-11-24T07:18:00,2025-11-24
43,rambut,0.54,2025-11-24T19:22:00,2025-11-24
