id,user_id,emotion,confidence,timestamp
3507,user24,sad,0.74,2025-09-12 00:00:17
3407,user28,sad,0.72,2025-09-12 00:00:29
3093,user10,surprised,0.81,2025-09-12 00:00:37
3406,user32,sad,0.73,2025-09-12 00:01:13
3331,user29,surprised,0.93,2025-09-12 00:02:58
4848,user21,surprised,0.82,2025-09-12 00:03:46
3611,user45,angry,0.88,2025-09-12 00:03:57
3416,user10,sad,0.78,2025-09-12 00:03:59
4953,user32,surprised,0.91,2025-09-12 00:04:18
4506,user8,sad,0.84,2025-09-12 00:04:28
4854,user17,happy,0.9,2025-09-12 00:06:56
3412,user27,surprised,0.91,2025-09-12 00:07:35
3339,user13,angry,0.81,2025-09-12 00:09:21
4622,user32,surprised,0.85,2025-09-12 00:09:55
4447,user25,fear,0.68,2025-09-12 00:10:13
3417,user47,angry,0.88,2025-09-12 00:11:02
3661,user7,sad,0.78,2025-09-12 00:13:26
4299,user16,fear,0.63,2025-09-12 00:14:52
3794,user3,sad,0.86,2025-09-12 00:15:40
3052,user7,sad,0.84,2025-09-12 00:16:08
3562,user39,surprised,0.9,2025-09-12 00:16:55
4049,user11,sad,0.73,2025-09-12 00:17:45
3335,user17,surprised,0.9,2025-09-12 00:18:01
4706,user25,happy,0.95,2025-09-12 00:18:16
4530,user31,sad,0.8,2025-09-12 00:20:37
3151,user42,sad,0.76,2025-09-12 00:21:26
4582,user14,happy,0.87,2025-09-12 00:21:37
3332,user12,sad,0.72,2025-09-12 00:22:24
4955,user48,happy,0.94,2025-09-12 00:23:13
4978,user49,sad,0.75,2025-09-12 00:23:26
3119,user3,sad,0.81,2025-09-12 00:24:36
4971,user11,angry,0.79,2025-09-12 00:25:14
4355,user18,sad,0.84,2025-09-12 00:26:06
3731,user22,angry,0.88,2025-09-12 00:26:08
3096,user39,surprised,0.9,2025-09-12 00:26:37
4139,user5,surprised,0.85,2025-09-12 00:27:39
4912,user17,happy,0.95,2025-09-12 00:28:05
4661,user4,sad,0.82,2025-09-12 00:29:46
4552,user3,happy,0.85,2025-09-12 00:30:05
4802,user44,happy,0.97,2025-09-12 00:30:06
3051,user19,angry,0.82,2025-09-12 00:30:26
4545,user20,happy,0.91,2025-09-12 00:30:59
5125,user14,angry,0.76,2025-09-12 00:31:35
4894,user3,surprised,0.87,2025-09-12 00:32:04
4822,user31,happy,0.97,2025-09-12 00:32:14
4691,user40,sad,0.77,2025-09-12 00:34:34
3060,user46,sad,0.77,2025-09-12 00:34:57
4560,user41,sad,0.72,2025-09-12 00:36:56
3113,user29,sad,0.76,2025-09-12 00:37:27
4688,user11,surprised,0.91,2025-09-12 00:37:34
3325,user21,sad,0.86,2025-09-12 00:37:48
3774,user16,sad,0.83,2025-09-12 00:37:52
3654,user4,sad,0.88,2025-09-12 00:37:59
3212,user12,happy,0.89,2025-09-12 00:38:25
4384,user8,sad,0.74,2025-09-12 00:38:38
4625,user2,sad,0.7,2025-09-12 00:38:41
3069,user26,sad,0.88,2025-09-12 00:39:08
4921,user31,sad,0.74,2025-09-12 00:39:42
