id,user_id,emotion,confidence,timestamp
1,user10,sad,0.76,2025-12-04 21:57:35
2,user46,happy,0.97,2025-12-04 05:22:20
3,user50,angry,0.86,2025-12-04 11:12:12
4,user35,sad,0.82,2025-12-04 13:43:30
5,user30,fear,0.75,2025-12-04 20:30:30
6,user31,sad,0.73,2025-12-04 16:34:03
7,user35,happy,0.85,2025-12-04 13:12:55
8,user50,sad,0.72,2025-12-04 11:19:58
9,user30,angry,0.88,2025-12-04 15:21:37
10,user48,happy,0.93,2025-12-04 16:27:14
11,user12,happy,0.93,2025-12-04 05:18:33
12,user15,sad,0.82,2025-12-04 22:03:02
13,user49,happy,0.95,2025-12-04 23:10:48
14,user35,surprised,0.84,2025-12-04 17:19:58
15,user1,fear,0.63,2025-12-04 17:19:15
16,user50,happy,0.92,2025-12-04 15:13:56
17,user31,surprised,0.86,2025-12-04 06:44:30
18,user5,angry,0.9,2025-12-04 09:25:34
19,user29,sad,0.77,2025-12-04 21:00:17
20,user43,fear,0.65,2025-12-04 17:28:53
21,user1,sad,0.83,2025-12-04 20:25:58
22,user8,fear,0.76,2025-12-04 23:23:10
23,user17,fear,0.75,2025-12-04 11:56:56
24,user29,angry,0.89,2025-12-04 07:58:12
25,user39,happy,0.85,2025-12-04 21:10:35
26,user19,happy,0.91,2025-12-04 14:18:41
27,user23,sad,0.84,2025-12-04 22:12:17
28,user22,happy,0.98,2025-12-04 20:34:19
29,user42,fear,0.7,2025-12-04 05:02:21
30,user32,angry,0.76,2025-12-04 20:05:27
31,user4,happy,0.94,2025-12-04 13:44:51
32,user10,surprised,0.93,2025-12-04 08:04:03
33,user39,surprised,0.82,2025-12-04 18:31:26
34,user44,happy,0.94,2025-12-04 20:20:03
35,user36,angry,0.87,2025-12-04 16:38:33
36,user50,fear,0.66,2025-12-04 15:06:25
37,user36,surprised,0.83,2025-12-04 07:14:58
38,user19,angry,0.89,2025-12-04 12:26:23
39,user6,happy,0.96,2025-12-04 01:36:11
40,user22,fear,0.7,2025-12-04 17:51:29
41,user29,happy,0.85,2025-12-04 09:00:35
42,user49,sad,0.73,2025-12-04 13:17:09
43,user7,fear,0.7,2025-12-04 12:59:44
44,user46,happy,0.91,2025-12-04 16:36:08
45,user38,sad,0.81,2025-12-04 14:22:18
46,user30,angry,0.88,2025-12-04 21:26:50
47,user48,happy,0.91,2025-12-04 10:45:47
48,user29,surprised,0.82,2025-12-04 22:31:40
49,user47,fear,0.64,2025-12-04 20:34:24
50,user38,fear,0.71,2025-12-04 08:53:46
51,user45,surprised,0.86,2025-12-04 12:09:19
52,user45,surprised,0.89,2025-12-04 00:55:17
53,user8,sad,0.77,2025-12-04 21:42:00
54,user10,happy,0.92,2025-12-04 22:27:48
55,user35,sad,0.77,2025-12-04 13:21:07
56,user19,sad,0.87,2025-12-04 20:45:03
57,user6,happy,0.96,2025-12-04 18:14:06
58,user7,fear,0.7,2025-12-04 02:49:56
59,user37,fear,0.79,2025-12-04 13:39:12
60,user11,happy,0.9,2025-12-04 14:26:38
61,user14,fear,0.7,2025-12-04 15:03:52
62,user14,happy,0.85,2025-12-04 10:37:42
63,user14,fear,0.65,2025-12-04 16:18:32
64,user9,fear,0.78,2025-12-04 08:30:02
65,user28,surprised,0.84,2025-12-04 06:33:53
66,user18,surprised,0.94,2025-12-04 03:01:17
67,user35,fear,0.71,2025-12-04 09:52:37
68,user17,happy,0.97,2025-12-04 17:16:55
69,user12,fear,0.69,2025-12-04 18:09:24
70,user40,fear,0.72,2025-12-04 21:21:52
71,user16,surprised,0.89,2025-12-04 10:56:07
72,user2,sad,0.78,2025-12-04 11:05:16
73,user48,surprised,0.86,2025-12-04 13:52:23
74,user7,fear,0.73,2025-12-04 16:40:59
75,user18,surprised,0.93,2025-12-04 16:53:27
76,user3,fear,0.71,2025-12-04 10:38:02
77,user17,angry,0.75,2025-12-04 21:52:10
78,user17,angry,0.78,2025-12-04 13:56:28
79,user15,surprised,0.81,2025-12-04 22:43:36
80,user43,angry,0.75,2025-12-04 16:12:45
81,user40,sad,0.79,2025-12-04 14:35:10
82,user45,happy,0.91,2025-12-04 08:24:23
83,user8,angry,0.83,2025-12-04 06:36:00
84,user10,angry,0.88,2025-12-04 12:21:33
85,user11,sad,0.76,2025-12-04 05:06:35
86,user26,angry,0.79,2025-12-04 17:59:33
87,user23,fear,0.78,2025-12-04 03:34:06
88,user4,surprised,0.84,2025-12-04 09:26:26
89,user41,angry,0.82,2025-12-04 18:15:38
90,user26,happy,0.96,2025-12-04 17:14:21
91,user50,angry,0.81,2025-12-04 19:22:03
92,user24,surprised,0.91,2025-12-04 10:08:28
93,user25,angry,0.81,2025-12-04 12:30:11
94,user2,sad,0.73,2025-12-04 21:11:33
95,user17,surprised,0.86,2025-12-04 19:48:11
96,user50,surprised,0.8,2025-12-04 15:59:48
97,user23,surprised,0.87,2025-12-04 20:57:23
98,user32,fear,0.65,2025-12-04 18:21:43
99,user1,surprised,0.94,2025-12-04 06:59:00
100,user50,happy,0.95,2025-12-04 15:03:19
101,user30,surprised,0.82,2025-12-04 10:39:47
102,user4,angry,0.82,2025-12-04 21:26:13
103,user12,fear,0.79,2025-12-04 20:35:22
104,user18,happy,0.95,2025-12-04 07:03:31
105,user1,fear,0.75,2025-12-04 11:53:55
106,user10,surprised,0.8,2025-12-04 13:44:46
107,user3,sad,0.87,2025-12-04 10:03:48
108,user45,happy,0.93,2025-12-04 21:05:34
109,user2,happy,0.89,2025-12-04 16:39:18
110,user49,fear,0.77,2025-12-04 09:29:49
111,user38,happy,0.92,2025-12-04 19:36:12
112,user11,happy,0.88,2025-12-04 07:37:06
113,user31,happy,0.92,2025-12-04 13:24:10
114,user20,fear,0.67,2025-12-04 13:05:42
115,user28,sad,0.87,2025-12-04 07:19:19
116,user35,sad,0.77,2025-12-04 17:32:20
117,user47,happy,0.92,2025-12-04 16:54:46
118,user15,happy,0.98,2025-12-04 18:37:12
119,user19,happy,0.97,2025-12-04 16:02:06
120,user38,angry,0.85,2025-12-04 10:08:18
121,user23,sad,0.75,2025-12-04 06:26:05
122,user10,angry,0.89,2025-12-04 12:23:47
123,user20,fear,0.72,2025-12-04 11:31:44
124,user43,surprised,0.82,2025-12-04 07:47:03
125,user15,surprised,0.83,2025-12-04 07:56:38
126,user26,happy,0.86,2025-12-04 21:44:40
127,user5,surprised,0.83,2025-12-04 23:55:34
128,user6,sad,0.74,2025-12-04 20:15:47
129,user47,angry,0.87,2025-12-04 17:50:02
130,user12,surprised,0.94,2025-12-04 13:53:32
131,user27,angry,0.84,2025-12-04 06:16:21
132,user15,surprised,0.82,2025-12-04 19:39:17
133,user49,surprised,0.83,2025-12-04 09:10:49
134,user33,angry,0.84,2025-12-04 20:14:47
135,user36,surprised,0.93,2025-12-04 09:39:32
136,user43,sad,0.84,2025-12-04 16:36:27
137,user43,happy,0.87,2025-12-04 06:33:41
138,user30,fear,0.76,2025-12-04 19:36:11
139,user32,fear,0.75,2025-12-04 23:33:52
140,user25,happy,0.88,2025-12-04 19:11:34
141,user41,surprised,0.81,2025-12-04 19:30:56
142,user44,fear,0.69,2025-12-04 09:24:39
143,user48,happy,0.87,2025-12-04 19:03:33
144,user29,angry,0.82,2025-12-04 16:32:32
145,user15,angry,0.79,2025-12-04 11:02:05
146,user49,surprised,0.82,2025-12-04 15:05:55
147,user30,happy,0.93,2025-12-04 15:02:16
148,user49,surprised,0.86,2025-12-04 12:01:47
149,user16,angry,0.82,2025-12-04 20:13:57
150,user49,sad,0.71,2025-12-04 21:00:34
151,user19,fear,0.65,2025-12-04 12:32:41
152,user23,sad,0.88,2025-12-04 19:59:25
153,user30,angry,0.89,2025-12-04 19:22:49
154,user38,surprised,0.91,2025-12-04 21:37:24
155,user50,angry,0.82,2025-12-04 13:36:17
156,user32,happy,0.9,2025-12-04 19:01:32
157,user45,happy,0.93,2025-12-04 08:31:51
158,user27,sad,0.79,2025-12-04 18:56:01
159,user32,sad,0.85,2025-12-04 19:36:08
160,user28,sad,0.77,2025-12-04 13:45:15
161,user47,surprised,0.91,2025-12-04 19:46:39
162,user16,sad,0.82,2025-12-04 16:31:51
163,user8,sad,0.82,2025-12-04 11:43:36
164,user10,happy,0.92,2025-12-04 18:03:48
165,user17,surprised,0.95,2025-12-04 20:21:41
166,user16,happy,0.89,2025-12-04 14:07:59
167,user47,sad,0.83,2025-12-04 12:05:44
168,user44,fear,0.69,2025-12-04 20:11:04
169,user11,fear,0.78,2025-12-04 18:49:52
170,user16,fear,0.77,2025-12-04 22:37:25
171,user13,surprised,0.84,2025-12-04 13:37:46
172,user42,happy,0.91,2025-12-04 13:05:06
173,user13,fear,0.64,2025-12-04 22:54:11
174,user40,angry,0.75,2025-12-04 17:07:50
175,user21,sad,0.75,2025-12-04 18:23:27
176,user17,surprised,0.92,2025-12-04 20:34:57
177,user6,happy,0.93,2025-12-04 08:27:33
178,user14,fear,0.78,2025-12-04 09:01:41
179,user2,sad,0.71,2025-12-04 20:44:59
180,user45,angry,0.78,2025-12-04 13:33:37
181,user19,fear,0.8,2025-12-04 22:21:36
182,user31,happy,0.86,2025-12-04 07:07:41
183,user31,happy,0.98,2025-12-04 09:14:31
184,user49,fear,0.71,2025-12-04 06:15:53
185,user45,happy,0.86,2025-12-04 22:02:15
186,user18,happy,0.97,2025-12-04 08:42:19
187,user11,happy,0.87,2025-12-04 22:24:58
188,user9,fear,0.8,2025-12-04 18:00:09
189,user21,happy,0.87,2025-12-04 13:15:55
190,user12,angry,0.89,2025-12-04 12:49:37
191,user40,sad,0.79,2025-12-04 19:13:51
192,user27,surprised,0.91,2025-12-04 11:36:51
193,user48,surprised,0.86,2025-12-04 09:22:43
194,user45,happy,0.9,2025-12-04 15:17:01
195,user2,angry,0.77,2025-12-04 14:49:57
196,user18,sad,0.71,2025-12-04 17:01:28
197,user48,surprised,0.82,2025-12-04 10:02:51
198,user45,fear,0.72,2025-12-04 11:24:53
199,user15,surprised,0.82,2025-12-04 06:36:14
200,user7,angry,0.88,2025-12-04 08:48:49
201,user31,fear,0.65,2025-12-04 08:07:35
202,user4,fear,0.69,2025-12-04 15:17:42
203,user25,sad,0.79,2025-12-04 21:27:47
204,user27,sad,0.86,2025-12-04 11:01:33
205,user8,angry,0.87,2025-12-04 05:32:47
206,user38,fear,0.76,2025-12-04 00:10:57
207,user35,surprised,0.94,2025-12-04 13:59:24
208,user40,sad,0.85,2025-12-04 23:01:09
209,user19,surprised,0.84,2025-12-04 13:14:59
210,user26,fear,0.67,2025-12-04 14:36:20
211,user22,angry,0.89,2025-12-04 11:25:04
212,user29,fear,0.68,2025-12-04 14:15:40
213,user7,happy,0.86,2025-12-04 11:22:33
214,user6,angry,0.78,2025-12-04 15:00:43
215,user38,happy,0.98,2025-12-04 05:46:49
216,user12,surprised,0.93,2025-12-04 11:13:31
217,user19,surprised,0.89,2025-12-04 15:20:17
218,user4,fear,0.71,2025-12-04 12:41:50
219,user40,angry,0.77,2025-12-04 17:28:25
220,user1,happy,0.87,2025-12-04 12:48:46
221,user12,happy,0.87,2025-12-04 12:36:10
222,user46,surprised,0.95,2025-12-04 12:21:44
223,user16,fear,0.69,2025-12-04 19:32:21
224,user18,surprised,0.8,2025-12-04 22:40:42
225,user5,happy,0.93,2025-12-04 16:13:15
226,user33,surprised,0.9,2025-12-04 21:10:12
227,user9,fear,0.62,2025-12-04 22:19:12
228,user42,happy,0.89,2025-12-04 13:22:48
229,user14,happy,0.87,2025-12-04 12:34:34
230,user6,sad,0.79,2025-12-04 07:07:20
231,user47,happy,0.94,2025-12-04 17:18:25
232,user38,angry,0.88,2025-12-04 10:55:46
233,user32,angry,0.87,2025-12-04 13:22:25
234,user37,surprised,0.87,2025-12-04 20:53:44
235,user30,fear,0.6,2025-12-04 21:21:26
236,user44,fear,0.67,2025-12-04 07:05:50
237,user8,sad,0.79,2025-12-04 14:49:24
238,user47,surprised,0.86,2025-12-04 18:19:38
239,user50,surprised,0.91,2025-12-04 11:27:10
240,user47,fear,0.63,2025-12-04 15:22:39
241,user5,surprised,0.93,2025-12-04 11:14:36
242,user44,fear,0.77,2025-12-04 16:33:35
243,user25,fear,0.68,2025-12-04 09:59:06
244,user7,happy,0.87,2025-12-04 23:23:07
245,user26,fear,0.7,2025-12-04 18:01:13
246,user21,sad,0.77,2025-12-04 03:09:27
247,user42,happy,0.92,2025-12-04 23:57:33
248,user18,surprised,0.94,2025-12-04 06:30:27
249,user33,sad,0.78,2025-12-04 02:20:20
250,user13,happy,0.85,2025-12-04 11:00:57
251,user41,sad,0.71,2025-12-04 22:19:56
252,user35,angry,0.76,2025-12-04 13:32:17
