timestamp,blouse,celana_panjang,celana_pendek,hijab,kaos,kemeja,outer,rambut,rok,sweater,topi
2025-10-24,131,231,231,407,347,153,332,1141,163,314,546
2025-10-25,162,278,264,422,400,193,326,1152,186,338,574
2025-10-26,206,265,288,411,393,208,348,1121,194,350,537
2025-10-27,185,286,243,419,386,218,359,1073,181,374,575
2025-10-28,169,238,258,451,374,207,310,1114,164,324,547
2025-10-29,172,240,214,478,351,179,289,1204,166,317,551
2025-10-30,196,256,262,471,351,190,326,1171,156,351,575
2025-10-31,152,272,257,425,411,212,389,1157,178,372,547
2025-11-01,166,264,282,433,396,196,304,1205,161,357,608
2025-11-02,170,253,252,430,354,197,348,1189,175,288,605
2025-11-03,190,264,251,420,433,206,377,1142,184,377,532
2025-11-04,137,246,237,409,340,182,295,1099,171,311,492
2025-11-05,160,299,278,446,390,200,336,1217,164,374,584
2025-11-06,181,275,259,347,341,187,310,1061,193,345,516
2025-11-07,196,266,291,414,403,222,355,1078,172,348,544
2025-11-08,144,269,208,449,341,182,308,1159,157,312,564
2025-11-09,191,271,257,427,337,220,338,1225,171,329,581
2025-11-10,158,272,239,404,312,190,312,1013,173,335,526
2025-11-11,191,263,260,432,343,194,308,1237,177,333,610
2025-11-12,175,278,271,404,358,206,371,1073,186,319,519
2025-11-13,195,282,261,456,396,208,368,1184,163,375,561
2025-11-14,175,282,258,448,396,222,330,1203,160,355,617
2025-11-15,146,260,252,458,364,176,287,1221,161,354,591
2025-11-16,198,235,263,436,360,210,340,1221,162,325,625
2025-11-17,182,274,257,443,333,210,353,1207,194,356,587
2025-11-18,165,282,260,436,391,221,367,1193,163,341,536
2025-11-19,171,273,223,422,361,223,326,1111,164,332,544
2025-11-20,172,241,256,419,362,168,309,1054,155,328,508
2025-11-21,171,251,229,402,353,216,315,1055,164,324,536
2025-11-22,153,231,241,400,342,194,338,1017,169,320,566
