timestamp,angry,fear,happy,sad,surprised
2025-12-04,184,176,1383,160,168
2025-12-05,153,187,1417,198,193
2025-12-06,167,172,1407,176,181
2025-12-07,170,145,1375,172,157
2025-12-08,162,159,1244,147,172
2025-12-09,197,168,1402,167,176
2025-12-10,205,192,1320,227,178
2025-12-11,189,162,1132,181,181
2025-12-12,158,159,1235,178,165
2025-12-13,164,177,1294,175,182
2025-12-14,179,176,1237,193,190
2025-12-15,172,197,1204,172,185
2025-12-16,174,171,1264,172,180
2025-12-17,180,182,1218,184,184
2025-12-18,186,192,1215,184,182
2025-12-19,164,189,1314,168,180
2025-12-20,200,229,1327,194,250
2025-12-21,190,182,1426,174,171
2025-12-22,161,170,1161,166,176
2025-12-23,163,154,1243,190,166
2025-12-24,180,180,1130,161,173
2025-12-25,157,150,1259,178,136
2025-12-26,197,198,1286,165,217
2025-12-27,203,180,1298,196,196
2025-12-28,183,197,1109,184,156
2025-12-29,154,156,1268,157,170
2025-12-30,190,187,1199,189,177
2025-12-31,189,183,1142,188,179
2026-01-01,178,133,1319,161,170
2026-01-02,193,189,1333,203,170
