timestamp,blouse,celana_panjang,celana_pendek,kaos,kemeja,outer,rok,sweater
2025-10-24,131,231,231,347,153,332,163,314
2025-10-25,162,278,264,400,193,326,186,338
2025-10-26,206,265,288,393,208,348,194,350
2025-10-27,185,286,243,386,218,359,181,374
2025-10-28,169,238,258,374,207,310,164,324
2025-10-29,172,240,214,351,179,289,166,317
2025-10-30,196,256,262,351,190,326,156,351
2025-10-31,152,272,257,411,212,389,178,372
2025-11-01,166,264,282,396,196,304,161,357
2025-11-02,170,253,252,354,197,348,175,288
2025-11-03,190,264,251,433,206,377,184,377
2025-11-04,137,246,237,340,182,295,171,311
2025-11-05,160,299,278,390,200,336,164,374
2025-11-06,181,275,259,341,187,310,193,345
2025-11-07,196,266,291,403,222,355,172,348
2025-11-08,144,269,208,341,182,308,157,312
2025-11-09,191,271,257,337,220,338,171,329
2025-11-10,158,272,239,312,190,312,173,335
2025-11-11,191,263,260,343,194,308,177,333
2025-11-12,175,278,271,358,206,371,186,319
2025-11-13,195,282,261,396,208,368,163,375
2025-11-14,175,282,258,396,222,330,160,355
2025-11-15,146,260,252,364,176,287,161,354
2025-11-16,198,235,263,360,210,340,162,325
2025-11-17,182,274,257,333,210,353,194,356
2025-11-18,165,282,260,391,221,367,163,341
2025-11-19,171,273,223,361,223,326,164,332
2025-11-20,172,241,256,362,168,309,155,328
2025-11-21,171,251,229,353,216,315,164,324
2025-11-22,153,231,241,342,194,338,169,320
