timestamp,hijab,rambut,topi
2025-10-24,407,1141,546
2025-10-25,422,1152,574
2025-10-26,411,1121,537
2025-10-27,419,1073,575
2025-10-28,451,1114,547
2025-10-29,478,1204,551
2025-10-30,471,1171,575
2025-10-31,425,1157,547
2025-11-01,433,1205,608
2025-11-02,430,1189,605
2025-11-03,420,1142,532
2025-11-04,409,1099,492
2025-11-05,446,1217,584
2025-11-06,347,1061,516
2025-11-07,414,1078,544
2025-11-08,449,1159,564
2025-11-09,427,1225,581
2025-11-10,404,1013,526
2025-11-11,432,1237,610
2025-11-12,404,1073,519
2025-11-13,456,1184,561
2025-11-14,448,1203,617
2025-11-15,458,1221,591
2025-11-16,436,1221,625
2025-11-17,443,1207,587
2025-11-18,436,1193,536
2025-11-19,422,1111,544
2025-11-20,419,1054,508
2025-11-21,402,1055,536
2025-11-22,400,1017,566
