timestamp,hijab,rambut,topi
2025-12-24,407,1141,546
2025-12-25,422,1152,574
2025-12-26,411,1121,537
2025-12-27,419,1073,575
2025-12-28,451,1114,547
2025-12-29,478,1204,551
2025-12-30,471,1171,575
2025-12-31,425,1157,547
2026-01-01,433,1205,608
2026-01-02,430,1189,605
2026-01-03,420,1142,532
2026-01-04,409,1099,492
2026-01-05,446,1217,584
2026-01-06,347,1061,516
2026-01-07,414,1078,544
2026-01-08,449,1159,564
2026-01-09,427,1225,581
2026-01-10,404,1013,526
2026-01-11,432,1237,610
2026-01-12,404,1073,519
2026-01-13,456,1184,561
2026-01-14,448,1203,617
2026-01-15,458,1221,591
2026-01-16,436,1221,625
2026-01-17,443,1207,587
2026-01-18,436,1193,536
2026-01-19,422,1111,544
2026-01-20,419,1054,508
2026-01-21,402,1055,536
2026-01-22,400,1017,566
