timestamp,angry,fear,happy,sad,surprised
2025-12-04,355,420,471,420,401
2025-12-05,385,452,462,392,457
2025-12-06,387,392,455,418,383
2025-12-07,406,403,488,389,451
2025-12-08,395,420,482,406,419
2025-12-09,398,441,464,411,424
2025-12-10,370,407,405,395,417
2025-12-11,377,343,442,385,383
2025-12-12,417,432,499,404,421
2025-12-13,425,417,441,387,360
2025-12-14,396,337,449,379,410
2025-12-15,436,379,434,392,412
2025-12-16,374,338,427,397,371
2025-12-17,376,415,504,377,422
2025-12-18,425,407,492,421,410
2025-12-19,374,456,470,395,360
2025-12-20,437,410,494,397,389
2025-12-21,350,364,463,370,377
2025-12-22,384,411,438,416,393
2025-12-23,424,385,522,400,442
2025-12-24,439,427,461,412,395
2025-12-25,381,413,477,376,386
2025-12-26,437,439,463,459,398
2025-12-27,430,398,466,436,431
2025-12-28,381,395,493,408,417
2025-12-29,451,435,436,393,415
2025-12-30,435,433,440,423,415
2025-12-31,367,370,443,435,371
2026-01-01,407,406,520,401,396
2026-01-02,367,375,499,382,376
