id,emotion,confidence,timestamp
1,hat,0.88,2025-11-15 06:32:33
2,cap,0.82,2025-11-15 06:32:33
3,beanie,0.79,2025-11-09 23:32:59
4,helmet,0.97,2025-11-09 23:32:59
5,beret,0.89,2025-11-13 20:57:04
6,headband,0.74,2025-11-13 20:57:04
7,cap,0.94,2025-10-30 14:49:08
8,hat,0.79,2025-10-30 14:49:08
9,beanie,0.88,2025-11-24 14:41:26
10,helmet,0.79,2025-11-24 14:41:26
11,hat,0.9,2025-11-17 17:22:26
12,cap,0.72,2025-11-17 17:22:26
13,beanie,0.7,2025-11-15 07:45:59
14,hat,0.85,2025-11-15 07:45:59
15,headband,0.88,2025-11-14 10:04:28
16,cap,0.75,2025-11-14 10:04:28
17,beret,0.79,2025-11-12 17:29:28
18,helmet,0.79,2025-11-12 17:29:28
19,hat,0.71,2025-11-13 14:03:44
20,cap,0.96,2025-11-13 14:03:44
21,beanie,0.91,2025-10-27 09:11:03
22,cap,0.96,2025-10-27 09:11:03
23,hat,0.91,2025-11-01 15:55:37
24,headband,0.73,2025-11-01 15:55:37
25,beret,0.75,2025-11-12 14:17:14
26,cap,0.79,2025-11-12 14:17:14
27,beanie,0.84,2025-10-30 20:48:31
28,cap,0.89,2025-10-30 20:48:31
29,helmet,0.87,2025-10-27 06:07:31
30,cap,0.91,2025-10-27 06:07:31
31,hat,0.93,2025-10-25 22:31:10
32,headband,0.84,2025-10-25 22:31:10
33,beret,0.85,2025-11-08 12:31:36
34,cap,0.78,2025-11-08 12:31:36
35,helmet,0.97,2025-11-05 16:38:23
36,cap,0.74,2025-11-05 16:38:23
37,beanie,0.81,2025-11-04 14:28:29
38,beret,0.7,2025-11-04 14:28:29
39,cap,0.96,2025-11-01 07:02:18
40,helmet,0.98,2025-11-01 07:02:18
41,hat,0.9,2025-11-15 12:06:25
42,cap,0.93,2025-11-15 12:06:25
43,beanie,0.73,2025-10-25 10:56:23
44,cap,0.8,2025-10-25 10:56:23
45,hat,0.74,2025-11-07 07:11:20
46,cap,0.8,2025-11-07 07:11:20
47,beanie,0.75,2025-11-13 22:58:41
48,beret,0.92,2025-11-13 22:58:41
49,helmet,0.9,2025-10-27 20:17:18
50,cap,0.76,2025-10-27 20:17:18
